baseline_name,run_id,seed,precision,recall,detection_rate,f1_score,false_positive_rate,accuracy,tp,fp,fn,tn,avg_detection_latency,avg_evasion_duration,false_quarantine_rate
isolation_forest,9,2051,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
isolation_forest,10,2052,0.5,1.0,1.0,0.6667,0.5,0.6667,1,1,0,1,0.0,0.0,0.5
isolation_forest,11,2053,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
isolation_forest,12,2054,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
isolation_forest,13,2055,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
isolation_forest,14,2056,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0
isolation_forest,15,2057,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
isolation_forest,16,2058,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0
isolation_forest,17,2059,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
isolation_forest,18,2060,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,4.0,4.0,0.0
isolation_forest,19,2061,0.5,1.0,1.0,0.6667,0.5,0.6667,1,1,0,1,0.0,0.0,0.5
lstm_baseline,0,2042,0.5,1.0,1.0,0.6667,0.5,0.6667,1,1,0,1,0.0,0.0,0.5
lstm_baseline,1,2043,0.5,1.0,1.0,0.6667,0.5,0.6667,1,1,0,1,0.0,0.0,0.5
lstm_baseline,2,2044,0.3333,1.0,1.0,0.5,1.0,0.3333,1,2,0,0,1.0,1.0,1.0
lstm_baseline,3,2045,0.3333,1.0,1.0,0.5,1.0,0.3333,1,2,0,0,0.0,0.0,1.0
lstm_baseline,4,2046,0.3333,1.0,1.0,0.5,1.0,0.3333,1,2,0,0,1.0,1.0,1.0
lstm_baseline,5,2047,0.3333,1.0,1.0,0.5,1.0,0.3333,1,2,0,0,1.0,1.0,1.0
lstm_baseline,6,2048,0.3333,1.0,1.0,0.5,1.0,0.3333,1,2,0,0,0.0,0.0,1.0
lstm_baseline,7,2049,0.5,1.0,1.0,0.6667,0.5,0.6667,1,1,0,1,1.0,1.0,0.5
lstm_baseline,8,2050,0.3333,1.0,1.0,0.5,1.0,0.3333,1,2,0,0,0.0,0.0,1.0
lstm_baseline,9,2051,0.3333,1.0,1.0,0.5,1.0,0.3333,1,2,0,0,0.0,0.0,1.0
lstm_baseline,10,2052,0.5,1.0,1.0,0.6667,0.5,0.6667,1,1,0,1,0.0,0.0,0.5
lstm_baseline,11,2053,0.3333,1.0,1.0,0.5,1.0,0.3333,1,2,0,0,0.0,0.0,1.0
lstm_baseline,12,2054,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
lstm_baseline,13,2055,0.5,1.0,1.0,0.6667,0.5,0.6667,1,1,0,1,0.0,0.0,0.5
