Epoch,AttackerStrategy,DeviceID,HMM_State,AnomalyScore,BehavioralTrust,TrustScore,GraphRisk,FinalRisk,Triggered,TriggerReason,Quarantined,DetectionEpoch,DetectionTime
11,STEALTH,rogue_laptop,Normal,0.0,1.0,0.9415,1.0,0.8949,True,Behavioral anomaly detected (Risk: 0.89 >= 0.65),True,11,1
1,STEALTH,user_0_phone,Idle,0.1374,0.8626,0.98,0.0121,0.0873,False,trust-compliant,False,,-1
1,STEALTH,user_0_laptop_1,Idle,0.0727,0.9273,0.98,0.0315,0.0562,False,trust-compliant,False,,-1
2,STEALTH,user_0_phone,High-Risk,1.0,0.0,0.8387,1.0,0.9718,False,trust-compliant,False,,-1
2,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.7423,1.0,0.969,False,trust-compliant,False,,-1
3,STEALTH,user_0_phone,High-Risk,1.0,0.0,0.7403,1.0,0.9689,False,trust-compliant,False,,-1
3,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.5959,1.0,0.9643,False,trust-compliant,False,,-1
4,STEALTH,user_0_phone,High-Risk,1.0,0.0,0.6718,1.0,0.9668,False,trust-compliant,False,,-1
4,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.5057,1.0,0.961,False,trust-compliant,False,,-1
5,STEALTH,user_0_phone,High-Risk,1.0,0.0,0.6242,1.0,0.9652,True,Inactivity timer expired,True,5,-1
5,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.4501,1.0,0.9589,True,Inactivity timer expired,True,5,-1
10,STEALTH,rogue_laptop,Normal,0.1392,0.8608,1.0,0.0735,0.1162,False,trust-compliant,False,,-1
11,STEALTH,rogue_laptop,Normal,0.0,1.0,1.0,1.0,0.9002,True,Behavioral anomaly detected (Risk: 0.90 >= 0.65),True,11,1
1,STEALTH,user_0_phone,Idle,0.0856,0.9144,0.98,0.0348,0.0653,False,trust-compliant,False,,-1
1,STEALTH,user_0_laptop_1,Idle,0.1185,0.8815,0.98,0.0156,0.0773,False,trust-compliant,False,,-1
2,STEALTH,user_0_phone,High-Risk,1.0,0.0,0.8387,1.0,0.9718,False,trust-compliant,False,,-1
2,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.678,1.0,0.967,False,trust-compliant,False,,-1
3,STEALTH,user_0_phone,High-Risk,1.0,0.0,0.7403,1.0,0.9689,False,trust-compliant,False,,-1
3,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.4968,1.0,0.9607,False,trust-compliant,False,,-1
4,STEALTH,user_0_phone,High-Risk,1.0,0.0,0.6718,1.0,0.9668,False,trust-compliant,False,,-1
4,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.3881,1.0,0.9564,False,trust-compliant,False,,-1
5,STEALTH,user_0_phone,High-Risk,1.0,0.0,0.6242,1.0,0.9652,True,Inactivity timer expired,True,5,-1
5,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.3679,1.0,0.9555,False,trust-compliant,False,,-1
6,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.3707,1.0,0.9557,False,trust-compliant,False,,-1
7,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.3724,1.0,0.9557,False,trust-compliant,False,,-1
8,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.3734,1.0,0.9558,False,trust-compliant,False,,-1
9,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.374,1.0,0.9558,False,trust-compliant,False,,-1
10,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.3144,0.1923,0.802,False,trust-compliant,False,,-1
10,STEALTH,rogue_laptop,Idle,0.1538,0.8462,0.98,0.0566,0.1198,False,trust-compliant,False,,-1
11,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.3386,1.0,0.9543,True,Behavioral anomaly detected (Risk: 0.95 >= 0.65),True,11,-1
11,STEALTH,rogue_laptop,Normal,0.0,1.0,0.9723,1.0,0.8977,True,Behavioral anomaly detected (Risk: 0.90 >= 0.65),True,11,1
1,STEALTH,user_0_phone,Idle,0.059,0.941,0.98,0.0338,0.0489,False,trust-compliant,False,,-1
1,STEALTH,user_0_laptop_1,Idle,0.0656,0.9344,0.98,0.0697,0.0673,False,trust-compliant,False,,-1
2,STEALTH,user_0_phone,High-Risk,1.0,0.0,0.8387,1.0,0.9718,False,trust-compliant,False,,-1
2,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.7423,1.0,0.969,False,trust-compliant,False,,-1
3,STEALTH,user_0_phone,High-Risk,1.0,0.0,0.7403,1.0,0.9689,False,trust-compliant,False,,-1
3,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.5959,1.0,0.9643,False,trust-compliant,False,,-1
4,STEALTH,user_0_phone,High-Risk,1.0,0.0,0.6718,1.0,0.9668,False,trust-compliant,False,,-1
4,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.5057,1.0,0.961,False,trust-compliant,False,,-1
5,STEALTH,user_0_phone,High-Risk,1.0,0.0,0.6242,1.0,0.9652,True,Inactivity timer expired,True,5,-1
5,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.4655,1.0,0.9595,True,Inactivity timer expired,True,5,-1
10,STEALTH,rogue_laptop,Normal,0.1464,0.8536,1.0,0.0706,0.1199,False,trust-compliant,False,,-1
11,STEALTH,rogue_laptop,Normal,0.0,1.0,0.9846,1.0,0.8989,True,Behavioral anomaly detected (Risk: 0.90 >= 0.65),True,11,1
1,MIMIC,user_0_phone,Idle,0.0996,0.9004,0.98,0.0166,0.0664,False,trust-compliant,False,,-1
1,MIMIC,user_0_laptop_1,Idle,0.0805,0.9195,0.98,0.065,0.0743,False,trust-compliant,False,,-1
2,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.8387,1.0,0.9718,False,trust-compliant,False,,-1
2,MIMIC,user_0_laptop_1,High-Risk,1.0,0.0,0.7423,1.0,0.969,False,trust-compliant,False,,-1
3,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.7403,1.0,0.9689,False,trust-compliant,False,,-1
3,MIMIC,user_0_laptop_1,High-Risk,1.0,0.0,0.5959,1.0,0.9643,False,trust-compliant,False,,-1
4,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.6718,1.0,0.9668,False,trust-compliant,False,,-1
4,MIMIC,user_0_laptop_1,High-Risk,1.0,0.0,0.5057,1.0,0.961,False,trust-compliant,False,,-1
5,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.572,1.0,0.9635,True,Inactivity timer expired,True,5,-1
5,MIMIC,user_0_laptop_1,High-Risk,1.0,0.0,0.4501,1.0,0.9589,True,Inactivity timer expired,True,5,-1
10,MIMIC,rogue_laptop,Idle,0.1337,0.8663,0.98,0.1161,0.1275,False,trust-compliant,False,,-1
11,MIMIC,rogue_laptop,Normal,0.0,1.0,0.9877,1.0,0.8991,True,Behavioral anomaly detected (Risk: 0.90 >= 0.65),True,11,1
1,MIMIC,user_0_phone,Idle,0.121,0.879,0.98,0.0433,0.0899,False,trust-compliant,False,,-1
1,MIMIC,user_0_laptop_1,Idle,0.1163,0.8837,0.98,0.0537,0.0913,False,trust-compliant,False,,-1
2,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.8387,1.0,0.9718,False,trust-compliant,False,,-1
2,MIMIC,user_0_laptop_1,High-Risk,1.0,0.0,0.7423,1.0,0.969,False,trust-compliant,False,,-1
3,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.7403,1.0,0.9689,False,trust-compliant,False,,-1
3,MIMIC,user_0_laptop_1,High-Risk,1.0,0.0,0.6113,1.0,0.9648,False,trust-compliant,False,,-1
4,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.6718,1.0,0.9668,False,trust-compliant,False,,-1
4,MIMIC,user_0_laptop_1,High-Risk,1.0,0.0,0.5306,1.0,0.962,False,trust-compliant,False,,-1
5,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.6242,1.0,0.9652,True,Inactivity timer expired,True,5,-1
5,MIMIC,user_0_laptop_1,High-Risk,1.0,0.0,0.4654,1.0,0.9595,True,Inactivity timer expired,True,5,-1
10,MIMIC,rogue_laptop,Normal,0.2433,0.7567,1.0,0.1486,0.2102,False,trust-compliant,False,,-1
11,MIMIC,rogue_laptop,Normal,0.0,1.0,1.0,1.0,0.9002,True,Behavioral anomaly detected (Risk: 0.90 >= 0.65),True,11,1
1,MIMIC,user_0_phone,Idle,0.1241,0.8759,0.98,0.0447,0.0923,False,trust-compliant,False,,-1
1,MIMIC,user_0_laptop_1,Idle,0.0563,0.9437,0.98,0.0711,0.0622,False,trust-compliant,False,,-1
2,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.8387,1.0,0.9718,False,trust-compliant,False,,-1
2,MIMIC,user_0_laptop_1,High-Risk,1.0,0.0,0.7423,1.0,0.969,False,trust-compliant,False,,-1
3,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.7403,1.0,0.9689,False,trust-compliant,False,,-1
3,MIMIC,user_0_laptop_1,High-Risk,1.0,0.0,0.5959,1.0,0.9643,False,trust-compliant,False,,-1
4,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.6718,1.0,0.9668,False,trust-compliant,False,,-1
4,MIMIC,user_0_laptop_1,High-Risk,1.0,0.0,0.5057,1.0,0.961,False,trust-compliant,False,,-1
5,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.6268,1.0,0.9653,False,trust-compliant,False,,-1
5,MIMIC,user_0_laptop_1,High-Risk,1.0,0.0,0.4501,1.0,0.9589,True,Inactivity timer expired,True,5,-1
6,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.5962,1.0,0.9643,False,trust-compliant,False,,-1
7,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.5754,1.0,0.9636,False,trust-compliant,False,,-1
8,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.4933,1.0,0.9606,False,trust-compliant,False,,-1
9,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.5054,1.0,0.961,False,trust-compliant,False,,-1
10,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.4457,0.1936,0.8224,False,trust-compliant,False,,-1
10,MIMIC,rogue_laptop,Normal,0.2469,0.7531,1.0,0.1455,0.2114,False,trust-compliant,False,,-1
11,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.4731,1.0,0.9598,True,Behavioral anomaly detected (Risk: 0.96 >= 0.65),True,11,-1
11,MIMIC,rogue_laptop,Normal,0.0,1.0,0.9846,1.0,0.8989,True,Behavioral anomaly detected (Risk: 0.90 >= 0.65),True,11,1
1,MIMIC,user_0_phone,Idle,0.0863,0.9137,0.98,0.0656,0.078,False,trust-compliant,False,,-1
1,MIMIC,user_0_laptop_1,Idle,0.1151,0.8849,0.98,0.034,0.0827,False,trust-compliant,False,,-1
2,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.8387,1.0,0.9718,False,trust-compliant,False,,-1
2,MIMIC,user_0_laptop_1,High-Risk,1.0,0.0,0.7423,1.0,0.969,False,trust-compliant,False,,-1
3,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.7403,1.0,0.9689,False,trust-compliant,False,,-1
3,MIMIC,user_0_laptop_1,High-Risk,1.0,0.0,0.5959,1.0,0.9643,False,trust-compliant,False,,-1
4,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.6718,1.0,0.9668,False,trust-compliant,False,,-1
4,MIMIC,user_0_laptop_1,High-Risk,1.0,0.0,0.5057,1.0,0.961,False,trust-compliant,False,,-1
5,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.6242,1.0,0.9652,True,Inactivity timer expired,True,5,-1
