Epoch,DeviceID,AnomalyScore,BehavioralTrust,TrustScore,GraphRisk,FinalRisk,Triggered,TriggerReason,Quarantined,DetectionEpoch,Configuration
25,user_0_phone,0.0,1.0,0.9025,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
25,user_0_laptop_1,0.0,1.0,0.9896,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
25,rogue_client_0,0.0,1.0,0.9973,0.9673,0.0,False,Device is trust-compliant.,False,,hmm_only
26,user_0_phone,0.0,1.0,0.9337,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
26,user_0_laptop_1,0.0,1.0,0.9782,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
26,rogue_client_0,0.0,1.0,0.9986,0.9749,0.0,False,Device is trust-compliant.,False,,hmm_only
27,user_0_phone,0.0,1.0,0.9379,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
27,user_0_laptop_1,0.0,1.0,0.9712,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
27,rogue_client_0,0.0,1.0,0.9993,0.9613,0.0,False,Device is trust-compliant.,False,,hmm_only
28,user_0_phone,0.0,1.0,0.9408,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
28,user_0_laptop_1,0.0,1.0,0.9669,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
28,rogue_client_0,0.0,1.0,0.9996,0.9725,0.0,False,Device is trust-compliant.,False,,hmm_only
29,user_0_phone,0.0,1.0,0.9427,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
29,user_0_laptop_1,0.0,1.0,0.9642,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
29,rogue_client_0,0.0,1.0,0.9998,0.9852,0.0,False,Device is trust-compliant.,False,,hmm_only
30,user_0_phone,0.0,1.0,0.944,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
30,user_0_laptop_1,0.0,1.0,0.9625,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
30,rogue_client_0,0.0,1.0,0.9999,0.9933,0.0,False,Device is trust-compliant.,False,,hmm_only
31,user_0_phone,0.0,1.0,0.9449,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
31,user_0_laptop_1,0.0,1.0,0.9769,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
31,rogue_client_0,0.0,1.0,0.9869,0.987,0.0,False,Device is trust-compliant.,False,,hmm_only
32,user_0_phone,0.0,1.0,0.9625,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
32,user_0_laptop_1,0.0,1.0,0.9704,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
32,rogue_client_0,0.0,1.0,0.9932,0.9861,0.0,False,Device is trust-compliant.,False,,hmm_only
33,user_0_phone,0.0,1.0,0.9745,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
33,user_0_laptop_1,0.0,1.0,0.9818,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
33,rogue_client_0,0.0,1.0,0.9965,0.9998,0.0,False,Device is trust-compliant.,False,,hmm_only
34,user_0_phone,0.0,1.0,0.9827,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
34,user_0_laptop_1,0.0,1.0,0.9888,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
34,rogue_client_0,0.0,1.0,0.9852,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
35,user_0_phone,0.0,1.0,0.9712,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
35,user_0_laptop_1,0.0,1.0,0.9931,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
35,rogue_client_0,0.0,1.0,0.9338,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
36,user_0_phone,0.0,1.0,0.9634,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
36,user_0_laptop_1,0.0,1.0,0.9803,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
36,rogue_client_0,0.0,1.0,0.9656,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
37,user_0_phone,0.0,1.0,0.9751,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
37,user_0_laptop_1,0.0,1.0,0.9725,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
37,rogue_client_0,0.0,1.0,0.9821,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
38,user_0_phone,0.0,1.0,0.9827,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
38,user_0_laptop_1,0.0,1.0,0.9831,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
38,rogue_client_0,0.0,1.0,0.9907,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
39,user_0_phone,0.0,1.0,0.9882,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
39,user_0_laptop_1,0.0,1.0,0.9742,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
39,rogue_client_0,0.0,1.0,0.9952,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
40,user_0_phone,0.0,1.0,0.924,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
40,user_0_laptop_1,0.0,1.0,0.9841,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
40,rogue_client_0,0.0,1.0,0.9975,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
1,user_0_phone,0.1132,0.8868,0.98,0.0162,0.0744,False,Device is trust-compliant.,False,,hmm_only
1,user_0_laptop_1,0.0612,0.9388,0.98,0.0404,0.0529,False,Device is trust-compliant.,False,,hmm_only
