Epoch,AttackerStrategy,DeviceID,HMM_State,AnomalyScore,BehavioralTrust,TrustScore,GraphRisk,FinalRisk,Triggered,TriggerReason,Quarantined,DetectionEpoch,DetectionTime
13,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9677,0.018,0.5667,False,Device is trust-compliant.,False,,-1
13,legacy_mimicry,rogue_laptop,Normal,0.0,1.0,1.0,0.2931,0.687,True,Behavioral anomaly detected (Risk: 0.69 >= 0.65),True,13,3
14,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9206,0.018,0.5782,False,Device is trust-compliant.,False,,3
15,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9524,0.018,0.5704,False,Device is trust-compliant.,False,,3
16,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9114,0.018,0.5804,False,Device is trust-compliant.,False,,3
17,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9468,0.018,0.5718,False,Device is trust-compliant.,False,,3
18,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9531,0.018,0.5703,False,Device is trust-compliant.,False,,3
19,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9719,0.018,0.5656,False,Device is trust-compliant.,False,,3
20,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9831,0.018,0.5629,False,Device is trust-compliant.,False,,3
21,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9899,0.018,0.5612,False,Device is trust-compliant.,False,,3
22,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9939,0.018,0.5602,False,Device is trust-compliant.,False,,3
23,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9963,0.018,0.5596,False,Device is trust-compliant.,False,,3
24,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9978,0.018,0.5593,False,Device is trust-compliant.,False,,3
25,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9987,0.018,0.559,False,Device is trust-compliant.,False,,3
26,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9992,0.018,0.5589,False,Device is trust-compliant.,False,,3
27,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9395,0.018,0.5736,False,Device is trust-compliant.,False,,3
28,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9637,0.018,0.5677,False,Device is trust-compliant.,False,,3
29,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9782,0.018,0.5641,False,Device is trust-compliant.,False,,3
30,legacy_mimicry,user_0_laptop_1,Idle,0.0,1.0,0.9869,0.018,0.562,False,Device is trust-compliant.,False,,3
31,legacy_mimicry,user_0_laptop_1,Normal,0.0,1.0,0.9921,0.018,0.5607,False,Device is trust-compliant.,False,,3
